BHID,FROM,TO,X,Y,Z,P2O5,CAO,FE2O3,SIO2,AL2O3,MGO,TIO2,NB2O5,BAO,S,SRO,K2O,NA2O,MNO,CEO2,LA2O3,ND2O3,PR2O3,LOI,RCP,P2O5AP,LITO
DH-0002,81.3,83.3,1373.246,2903.558,322.878,16.4,21.5,17.1,19.7,5.31,7.29,3.23,0.11,0.09,-,-,0.44,0.12,0.41,0.32,0.16,0.11,0.03,5.61,1.311,15.926,Foscorito
DH-0002,83.3,84,1373.246,2903.558,321.528,10.2,14.5,12.9,36.8,2.29,9.43,0.86,0.11,0.15,-,-,1.17,0.37,0.66,0.72,0.31,0.22,0.07,7.34,1.422,10.2,Foscorito
DH-0002,84,85.3,1373.246,2903.558,320.528,10.2,14.5,12.9,36.8,2.29,9.43,0.86,0.11,0.15,-,-,1.17,0.37,0.66,0.72,0.31,0.22,0.07,7.34,1.422,10.2,Bebedourito
DH-0002,85.3,87.5,1373.246,2903.558,318.778,8.89,14.5,9.9,34.8,3.12,15.9,1.05,0.12,0.1,-,-,1.3,0.26,0.33,0.42,0.19,0.13,0.04,9.22,1.631,8.89,Bebedourito
DH-0002,87.5,88.8,1373.246,2903.558,317.028,3.28,5.43,15.7,40,2.34,10.8,5,0.17,0.27,-,-,1.96,0.83,1.15,1.23,0.81,0.47,0.12,6.46,1.655,3.28,Bebedourito
DH-0002,88.8,90.8,1373.246,2903.558,315.378,12.7,20.6,12.3,27.2,4.22,13.6,1.96,0.07,0.08,-,-,0.37,0.3,0.25,0.25,0.14,0.09,0.02,5.07,1.622,12.7,Bebedourito
DH-0002,90.8,92.8,1373.246,2903.558,313.378,4.48,10.5,13.6,34.5,5.73,16.6,3.61,0.13,0.12,-,-,1.82,0.7,0.28,0.15,0.07,0.05,0.02,6.08,2.344,4.48,Bebedourito
DH-0002,92.8,94,1373.246,2903.558,311.778,3.22,16,11.5,30.5,4.82,15.9,4.49,0.12,0.12,-,-,0.81,0.26,0.23,0.13,0.07,0.04,0.01,11.26,4.969,3.22,Bebedourito
DH-0002,94,94.8,1373.246,2903.558,310.778,3.22,16,11.5,30.5,4.82,15.9,4.49,0.12,0.12,-,-,0.81,0.26,0.23,0.13,0.07,0.04,0.01,11.26,4.969,3.22,Foscorito
DH-0002,94.8,95.2,1373.246,2903.558,310.178,1.3,47.5,3.41,5.89,0.81,3.11,0.66,0.05,0.15,-,-,0.15,0.1,0.1,0.05,0.03,0.02,0,36.42,36.538,1.3,Foscorito
DH-0002,95.2,97.2,1373.246,2903.558,308.978,5.67,15.8,15.1,30.2,3.51,14.5,3.43,0.11,0.18,-,-,1.16,0.35,0.39,0.19,0.09,0.07,0.02,8.99,2.787,5.67,Foscorito
DH-0002,97.2,99,1373.246,2903.558,307.078,5.01,18.3,15.9,30.7,3.49,14.3,4.05,0.17,0.12,-,-,0.74,0.35,0.3,0.18,0.09,0.06,0.02,5.56,3.653,5.01,Foscorito
DH-0002,99,99.6,1373.246,2903.558,305.878,5.01,18.3,15.9,30.7,3.49,14.3,4.05,0.17,0.12,-,-,0.74,0.35,0.3,0.18,0.09,0.06,0.02,5.56,3.653,5.01,Bebedourito
DH-0002,99.6,100.95,1373.246,2903.558,304.903,3.37,20.3,15.5,33.2,3.4,12.1,5.42,0.2,0.15,-,-,3.57,0.42,0.31,0.14,0.07,0.05,0.01,3.16,6.024,3.37,Bebedourito
DH-0003,0,3.7,2846.86,2503.96,311.24,29.1,34.3,8.7,4.25,7.46,0.31,3.38,0.52,0.5,0.08,0.89,0.02,0.1,0.1,0.45,0.19,0.2,0.05,6.6,1.179,25.407,Turfa
DH-0003,3.7,8,2846.86,2503.96,307.24,30.6,40.9,18.7,0.96,0.45,0.5,0.36,0.33,0.23,0.02,0.49,0.01,0.06,0.6,0.32,0.18,0.12,0.03,2.69,1.337,30.296,Foscrete
DH-0003,8,11,2846.86,2503.96,303.59,30.4,40.4,20.62,0.21,0.55,0.56,0.39,0.31,0.21,0.02,0.55,0.01,0.08,0.67,0.24,0.1,0.11,0.03,2.51,1.329,29.926,Foscrete
DH-0003,11,14,2846.86,2503.96,300.59,24.4,30.8,28.19,2.8,2,0.73,2.42,0.32,0.38,0.02,0.67,0.02,0.07,0.47,0.23,0.11,0.11,0.03,3.97,1.262,22.815,Foscrete
DH-0003,14,15.6,2846.86,2503.96,298.29,32.7,43.7,12.88,1.06,0.95,0.3,0.65,0.36,0.24,0.02,0.64,0.01,0.08,0.23,0.27,0.12,0.12,0.03,3.05,1.336,32.37,Foscrete
